User ID,Date,Amount,Category,Description
5,2023-07-29,192.82,Rent,Apartment
10,2023-07-21,44.6,Savings,Savings Account
3,2022-11-11,21.67,Healthcare,Doctor
8,2024-03-17,128.71,Savings,Savings Account
1,2022-09-15,158.21,Transport,Bus
7,2023-03-01,75.44,Utilities,Internet
8,2023-09-03,69.62,Transport,Train
5,2022-10-01,9.49,Rent,Housing
10,2024-07-06,94.47,Entertainment,Netflix
6,2024-06-26,155.28,Clothing,Clothing Store
4,2023-12-03,92.63,Transport,Taxi
10,2024-04-28,122.45,Groceries,Supermarket
10,2024-02-03,72.5,Transport,Bus
10,2022-08-11,70.53,Utilities,Electricity
2,2022-10-02,27.34,Rent,Apartment
3,2023-08-28,97.62,Savings,Deposit
7,2023-04-29,181.47,Restaurants,Diner
10,2024-06-19,132.86,Groceries,Market
2,2023-03-18,86.87,Restaurants,Cafe
4,2024-06-11,79.27,Clothing,Apparel
9,2023-06-19,58.66,Transport,Taxi
10,2022-09-16,101.77,Clothing,Apparel
9,2023-12-18,85.98,Transport,Train
7,2024-01-23,37.38,Restaurants,Diner
5,2022-11-23,140.18,Savings,Savings Account
3,2022-10-26,72.28,Healthcare,Pharmacy
10,2023-08-17,174.17,Savings,Deposit
9,2024-04-14,25.31,Clothing,Apparel
10,2023-09-21,44.43,Utilities,Water
9,2023-06-07,167.0,Healthcare,Doctor
1,2022-10-24,120.28,Clothing,Apparel
8,2022-11-18,113.63,Food Delivery,UberEats
6,2024-04-03,109.24,Clothing,Apparel
9,2022-10-06,45.66,Utilities,Water
8,2023-01-13,164.48,Healthcare,Pharmacy
8,2023-05-25,61.55,Transport,Uber
1,2023-09-18,61.41,Restaurants,Diner
9,2023-08-29,46.74,Savings,Deposit
10,2024-05-18,161.78,Rent,Apartment
3,2024-05-21,117.78,Entertainment,Netflix
1,2023-04-10,28.71,Groceries,Grocery Store
8,2023-11-11,188.52,Food Delivery,GrubHub
8,2024-07-27,161.86,Food Delivery,GrubHub
6,2024-06-01,161.17,Utilities,Electricity
6,2022-12-10,51.45,Healthcare,Hospital
3,2022-08-21,12.86,Transport,Taxi
3,2023-05-18,58.6,Restaurants,Restaurant
4,2024-01-11,12.22,Food Delivery,UberEats
6,2024-03-08,26.26,Transport,Train
6,2024-07-04,139.89,Transport,Taxi
3,2023-08-09,40.95,Utilities,Water
10,2022-08-29,134.73,Food Delivery,Deliveroo
4,2023-09-28,107.41,Rent,Apartment
6,2024-02-07,129.38,Restaurants,Cafe
6,2024-08-06,45.4,Entertainment,Concert
8,2023-06-06,171.88,Groceries,Supermarket
3,2024-01-30,141.34,Transport,Bus
1,2023-09-20,11.52,Food Delivery,UberEats
5,2023-01-13,38.72,Transport,Train
2,2023-11-26,100.63,Clothing,Apparel
1,2023-01-15,144.53,Healthcare,Hospital
9,2023-04-12,179.4,Entertainment,Theater
2,2023-05-24,76.8,Healthcare,Doctor
4,2022-09-29,18.73,Rent,Apartment
8,2022-12-13,151.79,Utilities,Water
4,2022-12-24,153.63,Healthcare,Doctor
3,2024-01-14,48.62,Healthcare,Pharmacy
9,2022-12-23,189.52,Transport,Bus
2,2023-08-18,72.61,Rent,Apartment
1,2023-02-16,7.85,Clothing,Fashion
7,2024-05-11,85.26,Savings,Savings Account
8,2023-06-11,12.88,Entertainment,Concert
2,2023-03-22,85.13,Restaurants,Restaurant
2,2024-07-23,93.59,Utilities,Water
2,2022-11-12,83.42,Transport,Train
4,2024-07-03,61.24,Clothing,Fashion
6,2023-11-01,104.76,Savings,Savings Account
10,2023-04-30,132.62,Healthcare,Pharmacy
3,2024-05-15,125.1,Entertainment,Netflix
3,2023-06-09,118.3,Clothing,Clothing Store
4,2022-12-07,162.91,Utilities,Water
6,2022-09-21,14.38,Clothing,Apparel
7,2023-05-01,195.54,Food Delivery,Deliveroo
2,2024-03-22,13.98,Savings,Savings Account
10,2024-07-24,158.43,Rent,Rent
4,2024-03-12,41.82,Healthcare,Doctor
5,2023-07-11,13.54,Clothing,Clothing Store
5,2023-10-07,156.71,Clothing,Clothing Store
8,2023-04-04,9.8,Entertainment,Cinema
6,2024-07-31,84.43,Entertainment,Netflix
9,2022-09-16,41.37,Healthcare,Doctor
7,2023-03-10,12.97,Transport,Bus
8,2023-01-16,165.89,Groceries,Market
3,2024-05-25,47.31,Rent,Housing
1,2023-01-06,191.15,Healthcare,Pharmacy
6,2023-08-17,55.48,Healthcare,Doctor
10,2024-02-10,179.09,Food Delivery,GrubHub
1,2024-04-26,192.79,Restaurants,Diner
5,2023-09-18,121.84,Transport,Taxi
8,2024-07-03,98.48,Food Delivery,Deliveroo
10,2024-08-10,71.46,Groceries,Grocery Store
9,2024-06-17,45.72,Food Delivery,GrubHub
4,2022-12-01,169.76,Healthcare,Pharmacy
10,2023-10-01,160.88,Clothing,Clothing Store
6,2024-03-02,89.8,Rent,Housing
3,2024-02-26,71.42,Clothing,Apparel
7,2023-07-18,191.1,Food Delivery,GrubHub
